CMDLINE /home/nvremort/miniconda3/envs/mypythonenv/bin/python3.14 profiling_decorator.py
MEM 34.550781 1773829272.4530
MEM 34.550781 1773829272.5534
MEM 34.550781 1773829272.6538
MEM 34.550781 1773829272.7541
MEM 34.550781 1773829272.8543
MEM 34.550781 1773829272.9547
MEM 34.550781 1773829273.0551
MEM 34.550781 1773829273.1556
MEM 34.550781 1773829273.2560
MEM 34.550781 1773829273.3564
MEM 34.550781 1773829273.4569
MEM 34.550781 1773829273.5572
MEM 34.550781 1773829273.6576
MEM 34.550781 1773829273.7579
MEM 34.550781 1773829273.8582
MEM 34.550781 1773829273.9587
MEM 34.550781 1773829274.0591
MEM 34.550781 1773829274.1595
MEM 34.550781 1773829274.2599
MEM 34.550781 1773829274.3603
MEM 34.550781 1773829274.4607
MEM 34.550781 1773829274.5610
MEM 34.550781 1773829274.6614
MEM 34.550781 1773829274.7619
MEM 34.550781 1773829274.8624
MEM 34.550781 1773829274.9629
MEM 34.550781 1773829275.0633
MEM 34.550781 1773829275.1638
MEM 34.550781 1773829275.2643
MEM 34.550781 1773829275.3648
MEM 34.550781 1773829275.4652
MEM 34.550781 1773829275.5657
MEM 34.550781 1773829275.6661
MEM 34.550781 1773829275.7665
MEM 34.550781 1773829275.8670
MEM 34.550781 1773829275.9676
MEM 34.550781 1773829276.0680
MEM 34.550781 1773829276.1685
MEM 34.550781 1773829276.2690
MEM 34.550781 1773829276.3694
MEM 34.550781 1773829276.4697
MEM 34.550781 1773829276.5701
MEM 34.550781 1773829276.6704
MEM 34.550781 1773829276.7709
MEM 34.550781 1773829276.8712
MEM 34.550781 1773829276.9716
MEM 34.550781 1773829277.0721
MEM 34.550781 1773829277.1725
MEM 34.550781 1773829277.2729
MEM 34.550781 1773829277.3733
MEM 34.550781 1773829277.4738
MEM 34.550781 1773829277.5743
MEM 34.550781 1773829277.6748
MEM 34.550781 1773829277.7751
MEM 34.550781 1773829277.8756
MEM 34.550781 1773829277.9761
MEM 34.550781 1773829278.0764
MEM 34.550781 1773829278.1768
MEM 34.550781 1773829278.2771
MEM 34.550781 1773829278.3776
MEM 34.550781 1773829278.4781
MEM 34.550781 1773829278.5785
MEM 34.550781 1773829278.6789
MEM 34.550781 1773829278.7793
MEM 34.550781 1773829278.8797
MEM 34.550781 1773829278.9802
MEM 34.550781 1773829279.0807
MEM 34.550781 1773829279.1811
MEM 34.550781 1773829279.2815
MEM 34.550781 1773829279.3820
MEM 34.550781 1773829279.4824
MEM 34.550781 1773829279.5828
MEM 34.550781 1773829279.6831
MEM 34.550781 1773829279.7834
MEM 34.550781 1773829279.8838
MEM 34.550781 1773829279.9841
MEM 34.550781 1773829280.0845
MEM 34.550781 1773829280.1850
MEM 34.550781 1773829280.2855
MEM 34.550781 1773829280.3860
MEM 34.550781 1773829280.4864
MEM 34.550781 1773829280.5870
MEM 34.550781 1773829280.6875
MEM 34.550781 1773829280.7880
MEM 34.550781 1773829280.8885
MEM 34.550781 1773829280.9890
MEM 34.550781 1773829281.0895
MEM 34.550781 1773829281.1899
MEM 34.550781 1773829281.2903
MEM 34.550781 1773829281.3908
MEM 34.550781 1773829281.4912
MEM 34.550781 1773829281.5917
MEM 34.550781 1773829281.6921
MEM 34.550781 1773829281.7924
MEM 34.550781 1773829281.8928
MEM 34.550781 1773829281.9932
MEM 34.550781 1773829282.0935
MEM 34.550781 1773829282.1939
MEM 34.550781 1773829282.2942
MEM 34.550781 1773829282.3946
MEM 34.550781 1773829282.4950
MEM 34.550781 1773829282.5954
MEM 34.550781 1773829282.6958
MEM 34.550781 1773829282.7962
MEM 34.550781 1773829282.8965
MEM 34.550781 1773829282.9969
MEM 34.550781 1773829283.0973
MEM 34.550781 1773829283.1977
MEM 34.550781 1773829283.2982
MEM 34.550781 1773829283.3986
MEM 34.550781 1773829283.4991
MEM 34.550781 1773829283.5994
MEM 34.550781 1773829283.6999
MEM 34.550781 1773829283.8002
MEM 34.550781 1773829283.9005
MEM 34.550781 1773829284.0009
MEM 34.550781 1773829284.1013
MEM 34.550781 1773829284.2019
MEM 34.550781 1773829284.3022
MEM 34.550781 1773829284.4026
MEM 34.550781 1773829284.5030
MEM 34.550781 1773829284.6034
MEM 34.550781 1773829284.7038
MEM 34.550781 1773829284.8043
MEM 34.550781 1773829284.9049
MEM 34.550781 1773829285.0053
MEM 34.550781 1773829285.1057
MEM 34.550781 1773829285.2062
MEM 34.550781 1773829285.3066
MEM 34.550781 1773829285.4071
MEM 34.550781 1773829285.5076
MEM 34.550781 1773829285.6081
MEM 34.550781 1773829285.7085
MEM 34.550781 1773829285.8089
MEM 34.550781 1773829285.9094
MEM 34.550781 1773829286.0098
MEM 34.550781 1773829286.1103
MEM 34.550781 1773829286.2108
MEM 34.550781 1773829286.3113
MEM 34.550781 1773829286.4117
MEM 34.550781 1773829286.5121
MEM 34.550781 1773829286.6126
MEM 34.550781 1773829286.7130
MEM 34.550781 1773829286.8134
MEM 34.550781 1773829286.9140
MEM 34.550781 1773829287.0144
MEM 34.550781 1773829287.1149
MEM 34.550781 1773829287.2154
MEM 34.550781 1773829287.3157
MEM 34.550781 1773829287.4161
MEM 34.550781 1773829287.5165
MEM 34.550781 1773829287.6169
MEM 34.550781 1773829287.7173
MEM 34.550781 1773829287.8176
MEM 34.550781 1773829287.9181
MEM 34.550781 1773829288.0185
MEM 34.550781 1773829288.1189
MEM 34.550781 1773829288.2194
MEM 34.550781 1773829288.3197
MEM 34.550781 1773829288.4202
MEM 34.550781 1773829288.5206
MEM 34.550781 1773829288.6210
MEM 34.550781 1773829288.7213
MEM 34.550781 1773829288.8216
MEM 34.550781 1773829288.9220
MEM 34.550781 1773829289.0225
MEM 34.550781 1773829289.1229
MEM 34.550781 1773829289.2233
MEM 34.550781 1773829289.3237
MEM 34.550781 1773829289.4241
MEM 34.550781 1773829289.5244
MEM 34.550781 1773829289.6248
MEM 34.550781 1773829289.7252
MEM 34.550781 1773829289.8256
MEM 34.550781 1773829289.9260
MEM 34.550781 1773829290.0265
MEM 34.550781 1773829290.1270
MEM 34.550781 1773829290.2274
MEM 34.550781 1773829290.3279
MEM 34.550781 1773829290.4283
MEM 34.550781 1773829290.5286
MEM 34.550781 1773829290.6291
MEM 34.550781 1773829290.7296
MEM 34.550781 1773829290.8301
MEM 34.550781 1773829290.9305
MEM 34.550781 1773829291.0309
MEM 34.550781 1773829291.1314
MEM 34.550781 1773829291.2319
MEM 34.550781 1773829291.3325
MEM 34.550781 1773829291.4330
MEM 34.550781 1773829291.5335
MEM 34.550781 1773829291.6340
MEM 34.550781 1773829291.7344
MEM 34.550781 1773829291.8346
MEM 34.550781 1773829291.9349
MEM 34.550781 1773829292.0353
MEM 34.550781 1773829292.1357
MEM 34.550781 1773829292.2361
MEM 34.550781 1773829292.3365
MEM 34.550781 1773829292.4369
MEM 34.550781 1773829292.5373
MEM 34.550781 1773829292.6376
MEM 34.550781 1773829292.7380
MEM 34.550781 1773829292.8384
MEM 34.550781 1773829292.9389
MEM 34.550781 1773829293.0393
MEM 34.550781 1773829293.1397
MEM 34.550781 1773829293.2402
MEM 34.550781 1773829293.3405
MEM 34.550781 1773829293.4410
MEM 34.550781 1773829293.5413
MEM 34.550781 1773829293.6417
MEM 34.550781 1773829293.7421
MEM 34.550781 1773829293.8425
MEM 34.550781 1773829293.9429
